Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
California,Weekly,13/09/2020 0:00,Conventional,1.072633679,7195378.19,2156414.18,795135.97,306884.51,1481740.09,0,0,0,2455203.45
California,Weekly,20/09/2020 0:00,Conventional,1.175004237,6447651.08,2027559.49,575375.3,264312.98,1157106.15,0,0,0,2423297.16
California,Weekly,27/09/2020 0:00,Conventional,1.195477309,6370024.65,1939082.63,835712.41,142855.76,1097984.54,0,0,0,2354389.32
California,Weekly,4/10/2020 0:00,Conventional,1.22866738,6118464.85,1825581.63,649337.93,113750.28,1059524.17,0,0,0,2470270.83
California,Weekly,11/10/2020 0:00,Conventional,1.134560417,6566427.52,1912021.27,798650.83,112905.77,1084629.21,0,0,0,2658220.44
California,Weekly,18/10/2020 0:00,Conventional,1.174512892,6064504.98,1727564.83,784968.17,169216.2,1159690.28,0,0,0,2223065.51
California,Weekly,25/10/2020 0:00,Conventional,1.192516016,5671136.93,1473414.78,697614.06,165667.63,1188047.31,0,0,0,2146393.15
California,Weekly,1/11/2020 0:00,Conventional,1.222131778,5730513.11,1467551.01,772033.41,198181.15,1145165.09,0,0,0,2147582.46
California,Weekly,8/11/2020 0:00,Conventional,1.09321481,6107358.66,1541720.22,631498.09,184650.95,1056701.96,0,0,0,2692787.45
California,Weekly,15/11/2020 0:00,Conventional,1.214295865,5492201.92,1559684.13,775639.4,106304.7,1066931.83,0,0,0,1983641.85
California,Weekly,22/11/2020 0:00,Conventional,1.109052067,5874385.05,1963047.06,603433.57,93796.13,1134809.19,0,0,0,2079299.1
California,Weekly,29/11/2020 0:00,Conventional,1.241369734,4516628.58,1371422.32,483975.38,98186.5,923089.94,0,0,0,1639954.45
California,Weekly,6/12/2020 0:00,Conventional,1.043667853,6151404.18,1581630.85,696301.34,168483.74,1085154.5,0,0,0,2619833.75
